model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,log_price
2,2014,11498,2,40807,125,50.4,1.8,False,False,True,9.350015354048665
9,2014,11698,1,65959,160,49.6,2.0,True,False,False,9.367258647047601
10,2014,18998,2,47648,260,35.8,2.0,False,False,True,9.85214162518454
10,2017,25498,2,27948,145,40.9,2.0,False,False,True,10.146394514691288
3,2013,10498,1,31169,145,49.6,1.8,False,False,True,9.259035293514941
3,2013,9498,0,42011,145,47.1,2.0,False,False,True,9.158941808890182
5,2015,19998,2,56115,160,50.4,3.0,True,False,False,9.903437551286085
5,2015,16798,2,65835,125,61.4,2.0,True,False,False,9.729074639810214
5,2017,23998,2,63383,145,45.6,3.0,True,False,False,10.085767441795337
10,2017,36998,2,34011,145,34.0,3.0,False,False,True,10.518646164234097
4,2014,13998,2,52132,160,49.6,3.0,True,False,False,9.546741177474825
3,2015,15995,1,38787,145,55.4,2.0,True,False,False,9.680093969966709
0,2017,13495,1,34554,150,55.4,1.4,False,False,True,9.510148624225804
10,2017,30985,2,17502,145,40.4,2.0,False,False,True,10.341290768556236
25,2019,29485,0,3000,145,40.9,2.0,False,False,True,10.291670853409766
5,2015,16985,1,34646,30,61.4,2.0,True,False,False,9.740144754339955
10,2017,26485,2,18000,150,56.5,2.0,True,False,False,10.18437157048691
9,2018,23985,2,17085,150,47.9,1.4,False,False,True,10.085225605791667
0,2017,12485,1,48166,20,72.4,1.6,True,False,False,9.43236329562169
10,2015,22485,2,38421,205,47.1,2.0,True,False,False,10.020648172309706
4,2015,16498,1,46637,30,61.4,2.0,True,False,False,9.711055051991444
2,2016,11998,1,24468,0,74.3,1.6,True,False,False,9.392578591964389
10,2017,24985,0,29343,200,47.1,2.0,True,False,False,10.126070946991774
2,2019,17985,1,8449,145,51.4,1.6,True,False,False,9.79734895647446
4,2017,20485,1,34679,30,65.7,2.0,True,False,False,9.92749700499648
2,2018,16985,2,23860,145,60.1,1.0,False,False,True,9.740144754339955
3,2018,30985,0,21009,145,35.8,3.0,False,False,True,10.341290768556236
5,2019,29985,0,1881,145,47.9,2.0,True,False,False,10.308485885054848
5,2019,27985,2,688,145,47.9,2.0,True,False,False,10.239459664115659
5,2019,30985,0,1863,145,47.9,2.0,True,False,False,10.341290768556236
11,2020,62985,2,10,145,33.2,3.0,True,False,False,11.05066775845643
17,2016,44985,2,49050,325,29.4,4.0,False,False,True,10.714106609236245
3,2019,28985,2,1024,145,38.7,2.0,False,False,True,10.274568233782462
3,2019,24985,2,448,145,39.8,2.0,False,False,True,10.126070946991774
3,2019,26985,2,476,145,39.2,2.0,False,False,True,10.203073491990732
6,2019,39985,0,5201,145,38.7,3.0,True,False,False,10.596284671831778
2,2019,21985,2,2028,145,42.2,1.5,False,False,True,9.998161166138809
5,2019,45485,0,3241,145,39.2,3.0,True,False,False,10.72515986528436
10,2019,33985,0,355,145,39.2,2.0,True,False,False,10.433703954094051
4,2019,28985,0,18,145,39.8,2.0,False,False,True,10.274568233782462
2,2019,29985,0,3122,145,41.5,1.5,False,False,True,10.308485885054848
8,2019,28985,1,824,145,40.9,1.5,False,False,True,10.274568233782462
5,2019,31985,2,2811,145,47.9,2.0,True,False,False,10.373053586050816
5,2019,31985,2,27,145,50.4,2.0,True,False,False,10.373053586050816
3,2019,29485,2,4254,145,38.2,2.0,False,False,True,10.291670853409766
0,2019,17985,2,2252,145,48.7,1.0,False,False,True,9.79734895647446
8,2019,20985,0,3422,145,47.9,1.6,True,False,False,9.951610827717856
8,2019,23685,0,37,145,47.9,1.6,True,False,False,10.07263943528144
3,2019,27985,2,7299,145,38.2,2.0,False,False,True,10.239459664115659
8,2019,27985,2,1414,145,40.9,1.5,False,False,True,10.239459664115659
10,2019,36985,0,5135,145,38.2,2.0,True,False,False,10.518294741644821
10,2019,37985,0,6024,145,38.2,2.0,True,False,False,10.544972949772182
10,2020,37985,2,10,145,32.1,2.0,False,False,True,10.544972949772182
11,2019,49985,0,10,145,33.2,3.0,True,False,False,10.819498245202965
11,2019,59995,0,10,145,33.2,3.0,True,False,False,11.002033172315251
10,2020,47895,2,10,145,30.7,2.0,False,False,True,10.776787272605189
3,2020,31985,2,10,145,42.2,2.0,False,False,True,10.373053586050816
11,2015,29985,0,47606,200,47.9,3.0,True,False,False,10.308485885054848
0,2015,12485,2,26625,30,57.6,1.4,False,False,True,9.43236329562169
4,2018,24985,0,5071,145,50.4,2.0,False,False,True,10.126070946991774
4,2015,21985,2,28011,260,34.9,3.0,False,False,True,9.998161166138809
9,2019,34985,0,10,145,47.1,2.0,True,False,False,10.46270326045021
4,2019,29985,0,10,145,51.4,2.0,True,False,False,10.308485885054848
9,2019,34485,0,10,145,47.1,2.0,True,False,False,10.448308723560077
0,2019,19685,1,10,145,49.6,1.0,False,False,True,9.887663002189157
3,2019,34985,0,10,145,53.3,2.0,True,False,False,10.46270326045021
6,2019,43885,2,10,145,38.2,3.0,True,False,False,10.689350641595816
5,2019,35895,0,2000,145,47.9,2.0,True,False,False,10.488381147655819
8,2019,26985,0,10,145,43.5,1.5,False,False,True,10.203073491990732
